"trend_dif","lci","uci","prob_neg","trend_type","species","start_year1","end_year1","start_year2","end_year2","parameter"
0.109107725274182,-3.61259647099922,3.84667665901965,0.4646875,"Three Generation vs Long-term","American Avocet",1980,2019,2005,2019,"NSmooth"
-0.0100013613754113,-5.8345637894035,4.96594539736993,0.4696875,"Three Generation vs Earlier Three Generation","American Avocet",1991,2005,2005,2019,"NSmooth"
0.156408086309691,-5.69510723189082,5.93784110788667,0.4646875,"Three Generation vs All Previous","American Avocet",1980,2005,2005,2019,"NSmooth"
-0.637270023347195,-1.92189119022758,0.666804853505625,0.845625,"Three Generation vs Long-term","Black-bellied Plover",1980,2019,1996,2019,"NSmooth"
-1.56845000837088,-4.75175955823823,1.61731960387191,0.845625,"Three Generation vs Earlier Three Generation","Black-bellied Plover",1980,1996,1996,2019,"NSmooth"
-1.56845000837088,-4.75175955823823,1.61731960387191,0.845625,"Three Generation vs All Previous","Black-bellied Plover",1980,1996,1996,2019,"NSmooth"
-1.60987637174861,-4.91404797758796,1.4560217899484,0.8584375,"Three Generation vs Long-term","American Golden-Plover",1980,2019,2006,2019,"NSmooth"
-0.828713505004395,-5.8046606768449,3.31035281306481,0.6334375,"Three Generation vs Earlier Three Generation","American Golden-Plover",1993,2006,2006,2019,"NSmooth"
-2.43507476933863,-7.46841867775236,2.1760038240446,0.8584375,"Three Generation vs All Previous","American Golden-Plover",1980,2006,2006,2019,"NSmooth"
-0.467769579159415,-2.80711118431475,1.31615859348532,0.6446875,"Three Generation vs Long-term","Semipalmated Plover",1980,2019,2008,2019,"NSmooth"
-0.563262981631117,-4.02791207952904,1.60043558159496,0.5875,"Three Generation vs Earlier Three Generation","Semipalmated Plover",1997,2008,2008,2019,"NSmooth"
-0.655156485235061,-3.93235771439609,1.82849822766375,0.6446875,"Three Generation vs All Previous","Semipalmated Plover",1980,2008,2008,2019,"NSmooth"
-1.53104442132429,-5.17955288641174,2.27668839071125,0.798125,"Three Generation vs Long-term","Piping Plover",1980,2019,2008,2019,"NSmooth"
0.336875285479883,-4.20937498856037,6.10325614853722,0.465,"Three Generation vs Earlier Three Generation","Piping Plover",1997,2008,2008,2019,"NSmooth"
-2.14947054926785,-7.29227643556126,3.15696827794548,0.798125,"Three Generation vs All Previous","Piping Plover",1980,2008,2008,2019,"NSmooth"
-1.93790377290876,-5.3253067434068,0.889016204984517,0.8903125,"Three Generation vs Long-term","Killdeer",1980,2019,2007,2019,"NSmooth"
-1.39470996142771,-6.25019192944826,2.01371523428403,0.7396875,"Three Generation vs Earlier Three Generation","Killdeer",1995,2007,2007,2019,"NSmooth"
-2.82076343481062,-7.79019608957203,1.28155951734108,0.8903125,"Three Generation vs All Previous","Killdeer",1980,2007,2007,2019,"NSmooth"
-2.02090064553716,-4.60774708649808,0.547889790066357,0.9425,"Three Generation vs Long-term","Whimbrel",1980,2019,1999,2019,"NSmooth"
-4.21552522922212,-9.70570535206581,1.12125222325448,0.9425,"Three Generation vs Earlier Three Generation","Whimbrel",1980,1999,1999,2019,"NSmooth"
-4.21552522922212,-9.70570535206581,1.12125222325448,0.9425,"Three Generation vs All Previous","Whimbrel",1980,1999,1999,2019,"NSmooth"
-3.47428343027213,-6.3325785750841,-0.451722468562922,0.9878125,"Three Generation vs Long-term","Hudsonian Godwit",1980,2019,2000,2019,"NSmooth"
-6.46934684761256,-12.1499304824345,-0.517009796740762,0.985625,"Three Generation vs Earlier Three Generation","Hudsonian Godwit",1981,2000,2000,2019,"NSmooth"
-6.92534734297335,-12.7846232032797,-0.882882838099726,0.9878125,"Three Generation vs All Previous","Hudsonian Godwit",1980,2000,2000,2019,"NSmooth"
-1.36322408635733,-4.29666189994297,0.610929380611745,0.86125,"Three Generation vs Long-term","Marbled Godwit",1980,2019,1996,2019,"NSmooth"
-3.38820127741876,-10.8091397325105,1.48262553470401,0.86125,"Three Generation vs Earlier Three Generation","Marbled Godwit",1980,1996,1996,2019,"NSmooth"
-3.38820127741876,-10.8091397325105,1.48262553470401,0.86125,"Three Generation vs All Previous","Marbled Godwit",1980,1996,1996,2019,"NSmooth"
0.374038962217752,-1.42390988391555,2.21230084263392,0.3521875,"Three Generation vs Long-term","Ruddy Turnstone",1980,2019,2000,2019,"NSmooth"
0.889966504346531,-2.52280936365623,4.41927672755269,0.3184375,"Three Generation vs Earlier Three Generation","Ruddy Turnstone",1981,2000,2000,2019,"NSmooth"
0.719623842199381,-2.79638318200248,4.26837474346101,0.3521875,"Three Generation vs All Previous","Ruddy Turnstone",1980,2000,2000,2019,"NSmooth"
-3.73550061453784,-5.96468410321716,-1.55596938490195,0.9996875,"Three Generation vs Long-term","Red Knot",1980,2019,1998,2019,"NSmooth"
-8.31092335480682,-13.443812155944,-3.40501844337324,0.9996875,"Three Generation vs Earlier Three Generation","Red Knot",1980,1998,1998,2019,"NSmooth"
-8.31092335480682,-13.443812155944,-3.40501844337324,0.9996875,"Three Generation vs All Previous","Red Knot",1980,1998,1998,2019,"NSmooth"
1.71866757745772,-1.9615713987453,5.66947723008171,0.179375,"Three Generation vs Long-term","Stilt Sandpiper",1980,2019,2006,2019,"NSmooth"
2.86370680252839,-2.39404831913693,8.02271297318712,0.125,"Three Generation vs Earlier Three Generation","Stilt Sandpiper",1993,2006,2006,2019,"NSmooth"
2.55277020199193,-2.95778991991491,8.38573786493201,0.179375,"Three Generation vs All Previous","Stilt Sandpiper",1980,2006,2006,2019,"NSmooth"
-1.84223260701201,-4.03142970354411,0.117924564742288,0.9628125,"Three Generation vs Long-term","Sanderling",1980,2019,1999,2019,"NSmooth"
-3.8327130632065,-8.46131977667295,0.241904478785251,0.9628125,"Three Generation vs Earlier Three Generation","Sanderling",1980,1999,1999,2019,"NSmooth"
-3.8327130632065,-8.46131977667295,0.241904478785251,0.9628125,"Three Generation vs All Previous","Sanderling",1980,1999,1999,2019,"NSmooth"
0.606074346022152,-1.65608607363145,2.79541336326682,0.285625,"Three Generation vs Long-term","Dunlin",1980,2019,1997,2019,"NSmooth"
1.36549371087289,-3.84229161328735,6.2967475912509,0.285625,"Three Generation vs Earlier Three Generation","Dunlin",1980,1997,1997,2019,"NSmooth"
1.36549371087289,-3.84229161328735,6.2967475912509,0.285625,"Three Generation vs All Previous","Dunlin",1980,1997,1997,2019,"NSmooth"
0.176561007554778,-2.14352422322741,2.95217143560074,0.4515625,"Three Generation vs Long-term","Baird's Sandpiper",1980,2019,2008,2019,"NSmooth"
0.136529852922008,-2.77856162142569,3.18262280868376,0.450625,"Three Generation vs Earlier Three Generation","Baird's Sandpiper",1997,2008,2008,2019,"NSmooth"
0.242137657835912,-2.99845102700836,4.08833454777486,0.4515625,"Three Generation vs All Previous","Baird's Sandpiper",1980,2008,2008,2019,"NSmooth"
-3.65403933456958,-7.00092145887147,-0.215980531078434,0.9834375,"Three Generation vs Long-term","Least Sandpiper",1980,2019,2008,2019,"NSmooth"
-5.0527299504723,-10.456912804151,-0.353376653527811,0.9834375,"Three Generation vs Earlier Three Generation","Least Sandpiper",1997,2008,2008,2019,"NSmooth"
-5.13587879068226,-9.89395741833446,-0.300957538095082,0.9834375,"Three Generation vs All Previous","Least Sandpiper",1980,2008,2008,2019,"NSmooth"
-4.06695674966795,-8.4749056484901,-0.0358012028004925,0.9775,"Three Generation vs Long-term","White-rumped Sandpiper",1980,2019,2008,2019,"NSmooth"
