"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys"
"American Avocet",1980,2019,"Long-term",-1.30481565102073,-3.88516001117665,0.509278608642374,-37.0038582024024,-78.6780242345729,21.9102120786858,0.883125,0.583125,0.3353125,0.083125,1685.709390475,51.5462587923074,124.875
"American Avocet",2004,2019,"15-year",-1.28670316228872,-6.37939549041385,2.6324875870552,-12.1042176943807,-62.7975427815519,47.663407977882,0.71875,0.2725,0.0984375,0.0084375,1420.2546722168,25.4182568101174,61.625
"American Avocet",1980,1995,"First-15-year",-1.21361494461078,-5.21528929157358,2.04284212840581,-13.3433263247834,-55.2210036714488,35.4372787024127,0.75625,0.2475,0.0496875,0.0015625,1957.55089302734,91.0912679468412,167
"American Avocet",2005,2019,"Recent-three-generation",-1.19570792574655,-6.38711895032409,2.88371983541165,-10.1881653344994,-60.3083513701851,48.8857836210701,0.7009375,0.241875,0.0803125,0.0053125,1411.62211666458,25.7923905974586,55.0666666666667
"American Avocet",1991,2005,"Previous-three-generation",-1.18570656437114,-4.27381993128444,1.58794075905036,-13.5955226927639,-45.7461933650062,24.6781066924209,0.799375,0.1890625,0.0103125,0,1692.42702564583,37.5433865488771,159.466666666667
"Black-bellied Plover",1980,2019,"Long-term",-2.12743706673993,-3.28022096081012,-1.05790109354979,-56.7375008145136,-72.7669343967984,-33.9513959462533,1,0.9865625,0.7384375,0.0521875,26.1390840246875,28.9110398580759,905.175
"Black-bellied Plover",2004,2019,"15-year",-3.01050242566142,-5.75182594658108,-0.525807088131364,-36.1742283703246,-58.8761109749503,-7.60331949364182,0.993125,0.679375,0.1346875,0.0003125,18.8348170792969,18.7989077704424,792.75
"Black-bellied Plover",1980,1995,"First-15-year",-1.17530929556978,-3.46219594753505,0.883568889517138,-15.667137506429,-41.0530588874178,14.105496859129,0.85875,0.1440625,0.003125,0,33.0873763046875,36.571586619803,947.375
"Black-bellied Plover",1996,2019,"Recent-three-generation",-2.76470709008712,-4.54707088480342,-1.07026805766582,-47.6334319903474,-65.7111453330962,-21.9240739462643,0.9990625,0.91375,0.41,0.003125,21.5068891713542,23.8040086835912,877.041666666667
"Black-bellied Plover",1980,1996,"Previous-three-generation",-1.19625708171624,-3.33314207362613,0.794449020278857,-16.8749602759205,-41.8644695685381,13.4973825974384,0.875625,0.166875,0.0040625,0,32.8288610055147,35.5419335634956,939.588235294118
"American Golden-Plover",1980,2019,"Long-term",-3.33757541920453,-4.77234430117599,-2.00266674248047,-73.3145996561425,-85.1488266181879,-54.5686072311434,1,1,0.9903125,0.656875,0.114314744526562,0.72710371219318,594.15
"American Golden-Plover",2004,2019,"15-year",-4.96685022015467,-8.58128766599523,-1.6854055455411,-53.1676057388462,-73.9668615551584,-22.5056782309717,0.9975,0.9375,0.5996875,0.0596875,0.0654778488964844,0.691527308951456,443.5625
"American Golden-Plover",1980,1995,"First-15-year",-1.11371638138862,-4.02839036462965,1.73818553267211,-15.5783725804498,-46.0313336738583,29.4970330743795,0.7775,0.1896875,0.0115625,0,0.161649091935547,0.544427634642002,708.8125
"American Golden-Plover",2006,2019,"Recent-three-generation",-4.94745179095314,-9.03847601098587,-1.35174526139041,-47.9008902152029,-70.8156184067532,-16.2157558774985,0.9959375,0.8896875,0.4321875,0.0296875,0.0617282190870536,0.749668269266276,433.357142857143
"American Golden-Plover",1993,2006,"Previous-three-generation",-4.11873828594875,-6.37609014890699,-1.79763232586009,-42.2910581615701,-57.5352999106821,-21.0075709356224,0.9996875,0.8940625,0.1671875,0,0.116822781513393,0.936370092924134,605.214285714286
"Semipalmated Plover",1980,2019,"Long-term",-0.861311921776313,-1.99801926444167,0.0343422322107389,-27.7426998514114,-54.4845033559799,1.34812796429171,0.96125,0.445,0.0621875,0.0003125,7.42075834679687,48.3646484564662,1026.75
"Semipalmated Plover",2004,2019,"15-year",-1.24020644952171,-3.76762496762138,0.515693336166765,-15.2998976884748,-43.7894198833337,8.0209765372416,0.878125,0.174375,0.004375,0,6.67390892675781,48.3882558056134,922.1875
"Semipalmated Plover",1980,1995,"First-15-year",-0.615600340630416,-2.38988592341265,0.880624648742293,-7.5965977222446,-30.4299516795776,14.0555558845629,0.7746875,0.0275,0,0,8.11694148613281,46.0586322403518,1033
"Semipalmated Plover",2008,2019,"Recent-three-generation",-1.32908150093573,-4.37720746225429,0.722399710894945,-11.4367368345563,-38.8810832986422,8.2397322063199,0.85125,0.105625,0.0009375,0,6.50501182109375,35.7189378398777,922.833333333333
"Semipalmated Plover",1997,2008,"Previous-three-generation",-0.765818519304612,-2.25947100896346,0.683026878597809,-7.84733584736218,-22.2283098697813,7.77521605087188,0.8628125,0.0015625,0,0,7.35213850286458,64.690835604877,1144.58333333333
"Piping Plover",1980,2019,"Long-term",-1.46475292114413,-3.07580675233842,0.0579460645442287,-43.6846452279791,-70.4297087204916,2.28496294571689,0.963125,0.756875,0.3540625,0.0275,1.13841395946875,2.24378906342708,273.4
"Piping Plover",2004,2019,"15-year",-3.70154538304918,-7.24844000846001,-0.051023428722033,-43.5621672601296,-67.6541661106627,-0.76262374945527,0.9796875,0.7578125,0.3421875,0.0125,0.873734515664062,2.13423236553118,245.1875
"Piping Plover",1980,1995,"First-15-year",0.82066790696512,-2.41642343616356,4.2181544941193,12.3287819712362,-30.7131242017817,85.844925425416,0.310625,0.0271875,0.0028125,0,1.28155416650391,2.21779517386311,290.125
"Piping Plover",2008,2019,"Recent-three-generation",-2.99579734246842,-7.03327414439345,1.16773518872425,-28.3127410676605,-55.166473940319,13.6219755254645,0.923125,0.4609375,0.0734375,0.000625,0.787064640494792,1.88747548736461,241.25
"Piping Plover",1997,2008,"Previous-three-generation",-3.3326726279483,-6.78785746859296,-0.137014613450151,-30.8975694662603,-53.8472698617099,-1.49687464196627,0.9790625,0.5259375,0.0546875,0,1.26251610880208,2.71951096792268,291.916666666667
"Killdeer",1980,2019,"Long-term",-1.62880651052898,-3.01193384281524,-0.305840150896354,-46.9896360564662,-69.6601192524477,-11.2600713041574,0.9940625,0.8534375,0.4090625,0.0228125,32.9905320532031,14.9813941241049,865.7
"Killdeer",2004,2019,"15-year",-3.52702606840948,-7.16993818243017,-0.290280718462482,-41.2619401404441,-67.2410772618317,-4.26683691440194,0.9890625,0.7309375,0.281875,0.013125,25.2019469416016,7.30962642238903,661
"Killdeer",1980,1995,"First-15-year",0.417995030156262,-2.09406471098615,3.34471463448751,4.92474821770523,-27.1993395587799,63.8038715841773,0.40125,0.0175,0,0,39.1856053125,20.8284600563926,978.75
