"species","start_year","end_year","trend_type","region","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","region_type"
"American Avocet",2004,2019,"15-year","East Inland",0.410885525740107,-6.61981924180173,7.58974018793138,6.14239117408523,-64.2051372311456,199.614547336926,0.4546875,0.208125,0.08625,0.01125,0.0400620913945273,NA,NA,0.179344922381076,-0.744725837391257,1.32162471544573,"Region"
"American Avocet",2004,2019,"15-year","Midcontinental",-1.04995498838267,-7.21660236594301,4.35665579405556,-11.2178761043543,-67.4872123806314,89.5842717395343,0.626875,0.3040625,0.1284375,0.0171875,722.847094601712,NA,NA,-0.0377177212715337,-0.243355299461946,0.0368628568935254,"Region"
"American Avocet",2004,2019,"15-year","Northeast US Coastal",0.810265930258275,-6.71842283546225,9.47402388107827,9.24458043132516,-64.7679253204327,288.746260046039,0.441875,0.211875,0.080625,0.011875,1.72740702986621,NA,NA,0.236409362536667,-0.802760485772409,1.60435325266756,"Region"
"American Avocet",2004,2019,"15-year","Pacific and Intermountain",-1.02091707285717,-8.56423357531487,5.70114485052399,-12.2338659936594,-73.8939174860523,129.718184211793,0.6,0.3509375,0.1709375,0.0378125,88.3675443786133,NA,NA,-0.0368641688591509,-0.916985520738311,0.722237720700693,"Region"
"American Avocet",2004,2019,"15-year","Southeast Coastal",1.14932552799052,-7.14192507680025,9.86532077791324,18.6365858672359,-67.0924370177145,310.118765031108,0.398125,0.205,0.09375,0.01875,60.2236521520508,NA,NA,0.285216644265774,-0.894939733024381,1.56551550714486,"Region"
"American Avocet",2004,2019,"15-year","Texas Coastal",-1.60878376832435,-9.33057595630062,5.50562965214132,-20.4355553581373,-76.9901966234786,123.426418704321,0.65625,0.4015625,0.2146875,0.0571875,32.8575933728711,NA,NA,-0.127366049716143,-1.20442685349031,0.788240521483891,"Region"
"American Avocet",1980,2019,"Long-term","East Inland",-0.992402650268756,-5.33815213472343,3.28006102335144,-31.4811297093791,-88.2287069098833,252.081292423529,0.6703125,0.509375,0.355,0.175625,0.0442045887652594,NA,NA,-0.47767395428538,-2.32668039767248,1.21208820413145,"Region"
"American Avocet",1980,2019,"Long-term","Midcontinental",0.157750128374514,-3.16026112633608,3.26169263668824,8.78242692212591,-71.4181198683309,249.647433643201,0.446875,0.255,0.1259375,0.0303125,686.48667157713,NA,NA,-0.0229062089570264,-0.329046278529843,0.144643891482504,"Region"
"American Avocet",1980,2019,"Long-term","Northeast US Coastal",-2.71591105340481,-6.16188193000428,0.891559110637318,-66.460144656414,-91.6287098285401,41.363999928957,0.935625,0.83875,0.7059375,0.4321875,2.37311491319102,NA,NA,-1.15967235093183,-2.69301588369248,0.325691413651689,"Region"
"American Avocet",1980,2019,"Long-term","Pacific and Intermountain",-0.339743422756812,-5.25805852257001,4.58206693909202,-11.0570014650402,-87.8339687673399,473.894168337537,0.5465625,0.4184375,0.2909375,0.140625,84.5667815371484,NA,NA,-0.224221771196485,-1.89781675371328,1.39028086204095,"Region"
"American Avocet",1980,2019,"Long-term","Southeast Coastal",0.408958908391869,-5.56521758461683,6.33536358920635,14.2856009214854,-89.2811700886603,997.567730802804,0.4525,0.34375,0.250625,0.141875,44.5619002413672,NA,NA,0.0611223143542221,-2.26633473447717,2.39848415949901,"Region"
"American Avocet",1980,2019,"Long-term","Texas Coastal",0.741015373579245,-4.6797911251127,6.53078040661017,30.1093684872281,-84.5753712992104,1079.04188165369,0.4096875,0.29125,0.1871875,0.0903125,25.3299513769453,NA,NA,0.192956900626333,-1.95221215443604,2.41675244971867,"Region"
