"species","start_year","end_year","trend_type","region","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","region_type"
"American Avocet",2004,2019,"15-year","-1194960_-576954",-7.0067483749891,-14.3773556663603,-0.219585158135676,-65.6184542472444,-90.253929572532,-3.24362553025393,0.9796875,0.906875,0.7453125,0.41125,9.90684942988281,6.49976127673496,12.1666666666667,-0.0649319287679205,-0.138741561959184,0.00235582190100314,"hex_name"
"American Avocet",2004,2019,"15-year","-144960_-317147",-1.83814501033694,-8.73043784996648,4.44045958207458,-21.0558913452643,-74.5967304548871,91.8808432706258,0.69875,0.4146875,0.2034375,0.0465625,942.807036130859,402.185795454545,6.25,-0.0106507316027772,-0.0550646793734957,0.0191745980081035,"hex_name"
"American Avocet",2004,2019,"15-year","-144960_-836762",1.65543510307999,-3.9379450018825,6.79321128387685,30.7735075241305,-45.2633649389551,168.012281492949,0.27875,0.0809375,0.0178125,0.0025,4.99699690474609,5.58341254529285,21.7,0.0245245414116818,-0.0247986009202818,0.0734381308834835,"hex_name"
"American Avocet",2004,2019,"15-year","-294960_-57339",-0.757536516627702,-7.3382930437663,5.02394789392104,-8.60596903491086,-68.1210067152913,108.605183858433,0.5790625,0.2878125,0.1246875,0.0190625,1220.73725076953,93.6,5,0.000366544741979789,-0.0345280282481755,0.0264061766147665,"hex_name"
"American Avocet",2004,2019,"15-year","-894960_-576954",-0.44245390361111,-7.815132799232,6.20846353619614,-4.01058256812586,-70.4950730198341,146.823753799892,0.53875,0.2803125,0.1290625,0.02625,166.828239327344,3.54166666666667,8,0.00339911726726361,-0.051817418573103,0.0536510025951433,"hex_name"
"American Avocet",2004,2019,"15-year","1055040_202469",0.521302325936588,-7.33147476301171,8.47478338342345,8.25900850493235,-68.0858129494121,238.791028040201,0.445,0.23125,0.103125,0.0190625,0.09442038750625,0.309343434343434,9.33333333333333,0.0129109897513893,-0.0593195651120405,0.0954587818861403,"hex_name"
"American Avocet",2004,2019,"15-year","1355040_-1356377",1.14932552799052,-7.14192507680025,9.86532077791324,18.6365858672359,-67.0924370177145,310.118765031108,0.398125,0.205,0.09375,0.01875,60.2236521520508,72.3333333333333,3,0.0190144429510516,-0.0596626488682921,0.104367700476324,"hex_name"
"American Avocet",2004,2019,"15-year","1655040_202469",1.05243570970347,-6.59789662396231,9.80903729846179,12.9670852101178,-64.0788742949816,306.978307673101,0.4128125,0.1965625,0.0746875,0.0103125,3.36681888783203,0.168204365079365,20.3333333333333,0.0181519159931952,-0.0507749081163028,0.110305348596271,"hex_name"
"American Avocet",2004,2019,"15-year","1805040_-57339",-5.35030610868715,-11.8969044356844,2.30511611054771,-57.6601285503206,-85.0422056209647,40.7538554754947,0.9190625,0.8165625,0.620625,0.2584375,0.0879951719003906,0.601158301158301,21.1428571428571,-0.0472205085029441,-0.117307773077698,0.048503788635397,"hex_name"
"American Avocet",2004,2019,"15-year","5040_-1096569",-1.60878376832435,-9.33057595630062,5.50562965214132,-20.4355553581373,-76.9901966234786,123.426418704321,0.65625,0.4015625,0.2146875,0.0571875,32.8575933728711,38.5,2,-0.00849106998107618,-0.0802951235660205,0.052549368098926,"hex_name"
"American Avocet",2004,2019,"15-year","905040_-57339",-1.37894531296421,-7.61642968872302,4.30183780052799,-17.2882914123777,-69.5265809635663,88.0959356953861,0.6753125,0.35,0.146875,0.0246875,0.0150400480272734,0.0125,7.7,-0.00586735787946451,-0.0613122263944704,0.0507037102645488,"hex_name"
"American Avocet",2004,2019,"15-year","905040_462276",-0.571859659971923,-7.85841287281306,6.41232634008776,-8.07757847319828,-70.7021506424087,154.026528223809,0.5625,0.304375,0.1365625,0.0275,0.0107258386500586,0.025,18,0.0020833182816706,-0.0632997211390441,0.0782824783952925,"hex_name"
"American Avocet",1980,2019,"Long-term","-1194960_-576954",-5.65306239597813,-9.67906899355858,-1.50373105397882,-89.7778602508118,-98.1131037544806,-44.617645393909,0.9965625,0.9884375,0.9675,0.8925,40.0237547949219,7.02013177924832,12,-0.0604695060630253,-0.103974650678055,-0.0174445940521996,"hex_name"
"American Avocet",1980,2019,"Long-term","-144960_-317147",-0.333023190932725,-3.90063395463299,3.0305940297565,-10.7725489785665,-78.8114545665421,220.392216513859,0.5696875,0.3709375,0.2221875,0.0734375,1014.22152526484,304.935215247715,9.75,-0.00553277434367954,-0.0314588454690279,0.0154892805430834,"hex_name"
"American Avocet",1980,2019,"Long-term","-144960_-836762",3.57758322116033,0.70359056138294,6.14053191345023,304.768218405286,31.4477929053626,921.807609645224,0.0075,0.0015625,0.0003125,0,3.20031833842188,3.78382849746101,34.1470588235294,0.033034801090946,0.0024068721008292,0.0631609039088184,"hex_name"
"American Avocet",1980,2019,"Long-term","-294960_-57339",0.458837039844946,-3.51140445312316,4.29826104118768,20.6515789789751,-75.1936094825701,416.185303753346,0.398125,0.240625,0.1278125,0.04,1042.03817112812,656.043993008697,14,0.00235707732137952,-0.0198040458095815,0.0222301379450286,"hex_name"
