"species","start_year","end_year","trend_type","region","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","mean_abundance","mean_observed","mean_n_surveys","region_type"
"American Avocet",2004,2019,"15-year","-1194960_-576954",-3.54027282948107,-11.8175612753709,4.56646048862195,-40.5255991775925,-84.8388689246514,95.3828299529578,14.5126609967749,6.49976127673496,12.1666666666667,"hex_name"
"American Avocet",2004,2019,"15-year","-144960_-317147",-3.56269486640203,-11.4353027284253,3.55493431587922,-39.9936677366284,-83.8225659422451,68.873848016195,1258.86595346266,402.185795454545,6.25,"hex_name"
"American Avocet",2004,2019,"15-year","-144960_-836762",-2.63498226715918,-10.9175974500005,5.4287260553612,-29.4638739820649,-82.3445461472671,120.996252029124,4.30625437194973,5.58341254529285,21.7,"hex_name"
"American Avocet",2004,2019,"15-year","-294960_-57339",-3.70279072451133,-11.8210228725977,3.59136243211349,-41.4382004939202,-84.8477731166354,69.7670244082529,1158.82790633772,93.6,5,"hex_name"
"American Avocet",2004,2019,"15-year","-894960_-576954",-3.3214789669735,-11.5571852262621,4.03508804949249,-37.0157334847198,-84.1531968660979,81.0079425164814,200.521172640614,3.54166666666667,8,"hex_name"
"American Avocet",2004,2019,"15-year","1055040_202469",-3.47408315310713,-11.8980249222733,4.08480750543078,-38.7692245478149,-85.0450564053471,82.3098580838065,0.123569958863666,0.309343434343434,9.33333333333333,"hex_name"
"American Avocet",2004,2019,"15-year","1355040_-1356377",-3.33398665849079,-11.9527925296958,4.31441309367416,-37.8810618201262,-85.1839036015008,88.4376219314152,36.6977937954262,72.3333333333333,3,"hex_name"
"American Avocet",2004,2019,"15-year","1655040_202469",-3.28850370785491,-11.8246587856369,4.3198362655422,-37.0391831093419,-84.8571476803181,88.5834601851902,3.86790273622622,0.168204365079365,20.3333333333333,"hex_name"
"American Avocet",2004,2019,"15-year","1805040_-57339",-3.39250170209329,-11.294370658598,3.6365654119693,-38.8587336403702,-83.4320741951689,70.8815567097054,0.432224458588938,0.601158301158301,21.1428571428571,"hex_name"
"American Avocet",2004,2019,"15-year","5040_-1096569",-3.8880991419896,-12.1408763198373,3.69714003553123,-42.9192536943993,-85.6516140907438,72.3858857964548,28.097450658027,38.5,2,"hex_name"
