"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"American Avocet",1980,2019,"Long-term",-2.30692155506891,-5.75754441213571,0.411638605154933,-58.0479241471304,-90.100364844683,17.3756933088826,0.9225,0.766666666666667,0.597083333333333,0.326666666666667,2059.74297101102,51.5462587923074,124.875
"American Avocet",2004,2019,"15-year",-3.25671474942392,-11.0999965458483,2.7621715083378,-34.6323349373066,-82.8790947987076,50.4870560297044,0.8275,0.55125,0.337083333333333,0.12,1681.46497814439,25.4182568101174,61.625
"American Avocet",1980,1995,"First-15-year",-2.45772948680036,-7.65827019253432,2.10919425028016,-29.5743366729672,-69.7329181779197,36.7642971893373,0.840833333333333,0.49375,0.207083333333333,0.025,2373.25177065601,91.0912679468412,167
"American Avocet",2005,2019,"Recent-three-generation",-3.32079245361194,-11.6234207140205,3.24303775359442,-33.3742910769005,-82.2694915686159,56.3330759111164,0.815833333333333,0.533333333333333,0.31625,0.109166666666667,1655.92456361373,25.7923905974586,55.0666666666667
"American Avocet",1991,2005,"Previous-three-generation",0.0716272407360349,-2.65869632453754,3.83084165667644,-1.15888879323758,-31.4258801616832,69.2658105510079,0.529166666666667,0.0341666666666667,0.000416666666666667,0,2144.16308516669,37.5433865488771,159.466666666667
"Black-bellied Plover",1980,2019,"Long-term",-2.59857247965893,-3.91103599136924,-1.29139847636083,-64.0732471608385,-78.9007535293836,-39.765548157373,1,0.99375,0.900833333333333,0.24625,28.6154619697522,28.9110398580759,905.175
"Black-bellied Plover",2004,2019,"15-year",-4.87353049793965,-7.89369386920786,-1.89502506685412,-52.3802753830547,-70.8700001108699,-24.9474456993569,1,0.955833333333333,0.587916666666667,0.0366666666666667,21.6611289268831,18.7989077704424,792.75
"Black-bellied Plover",1980,1995,"First-15-year",-1.2171004221053,-3.85421561488739,1.43206956580407,-16.6782404350705,-44.5433338041401,23.7739660731828,0.823333333333333,0.198333333333333,0.00541666666666667,0,34.6678179973736,36.571586619803,947.375
"Black-bellied Plover",1996,2019,"Recent-three-generation",-3.57620854118105,-5.53633039587499,-1.65243074830557,-56.7897146045355,-73.0169714661833,-31.834676348571,1,0.9825,0.740833333333333,0.0595833333333333,24.580557951338,23.8040086835912,877.041666666667
"Black-bellied Plover",1980,1996,"Previous-three-generation",-1.16615704742363,-3.60768517402982,1.31040983913831,-17.2343269573365,-44.4507010190644,23.1587172442202,0.825833333333333,0.204583333333333,0.00458333333333333,0,34.4603029893876,35.5419335634956,939.588235294118
"American Golden-Plover",1980,2019,"Long-term",-4.44479864727799,-6.21066311968645,-2.63052740072794,-82.9778798717028,-91.7967648182788,-64.6418199226953,1,1,0.99875,0.939583333333333,0.293389094451973,0.72710371219318,594.15
"American Golden-Plover",2004,2019,"15-year",-7.74411131137956,-11.8283581073156,-3.76003414649288,-70.2460631950961,-84.8666901391375,-43.7228748636645,1,0.995833333333333,0.94625,0.510416666666667,0.168487540381243,0.691527308951456,443.5625
