"species","year","predicted_mean_abundance","lower_95percent_CL","upper_95percent_CL"
"American Avocet",1980,805.507,134.0139,15786.2325
"American Avocet",1981,513.477,79.56994,9388.90650000001
"American Avocet",1982,503.9795,82.5477425,9145.49275
"American Avocet",1983,1126.7,180.6718,20206.64
"American Avocet",1984,1364.77,219.6352,25072.9500000001
"American Avocet",1985,528.6415,84.31708,9279.36825000001
"American Avocet",1986,508.997,85.57436,8775.14275
"American Avocet",1987,177.426,28.897785,3241.958
"American Avocet",1988,217.9725,32.397495,4008.07700000001
"American Avocet",1989,233.991,36.9754925,4287.69425
"American Avocet",1990,319.282,47.7178875,5749.1905
"American Avocet",1991,495.089,77.1096825,9357.38950000001
"American Avocet",1992,470.555,78.752295,8541.557
"American Avocet",1993,307.523,47.1064425,5631.15600000001
"American Avocet",1994,826.6325,130.6893,16467.6425
"American Avocet",1995,674.557,107.541025,13390.9175
"American Avocet",1996,367.913,55.1182175,6552.01925000001
"American Avocet",1997,315.308,47.4695875,6006.504
"American Avocet",1998,721.163,114.9132,12579.0725
"American Avocet",1999,733.492,125.4165,13699.7175
"American Avocet",2000,658.138,111.3847,11448.7325
"American Avocet",2001,488.8195,76.5242425,9212.47775000002
"American Avocet",2002,320.5905,52.16135,5807.5645
"American Avocet",2003,784.2655,128.970125,14140.71
"American Avocet",2004,290.4205,47.686605,5949.66050000001
"American Avocet",2005,274.3735,44.4251,5366.8485
"American Avocet",2006,443.8695,64.4672975,8197.49475000001
"American Avocet",2007,484.4425,75.1556675000001,8609.57375000001
"American Avocet",2008,280.0235,41.88045,5487.8785
"American Avocet",2009,256.0505,35.7099075,5006.26300000001
"American Avocet",2010,208.233,30.539045,3785.28575
"American Avocet",2011,529.9685,79.6393275,10170.8275
"American Avocet",2012,391.1555,55.20759,7156.90975000002
"American Avocet",2013,262.554,31.10434,4713.958
"American Avocet",2014,408.656,53.8372625,8221.4215
"American Avocet",2015,254.6965,36.219445,4636.263
"American Avocet",2016,293.651,35.951895,5403.21425
"American Avocet",2017,255.797,27.591715,5405.84225
"American Avocet",2018,238.6965,27.574365,5072.028
"American Avocet",2019,533.4735,58.749295,11500.595
"Black-bellied Plover",1980,27.9995,19.3862875,43.3871775
"Black-bellied Plover",1981,31.50365,21.610035,49.261705
"Black-bellied Plover",1982,26.2003,18.58862,40.130895
"Black-bellied Plover",1983,42.2806,28.4050225,64.8756
"Black-bellied Plover",1984,59.2761,41.4540375,88.9799325
"Black-bellied Plover",1985,53.3449,38.01057,81.495005
