"species","smooth_or_full_indices","year","predicted_mean_abundance","lower_95percent_CL","upper_95percent_CL"
"American Avocet","Full",1980,805.507,134.0139,15786.2325
"American Avocet","Full",1981,513.477,79.56994,9388.90650000001
"American Avocet","Full",1982,503.9795,82.5477425,9145.49275
"American Avocet","Full",1983,1126.7,180.6718,20206.64
"American Avocet","Full",1984,1364.77,219.6352,25072.9500000001
"American Avocet","Full",1985,528.6415,84.31708,9279.36825000001
"American Avocet","Full",1986,508.997,85.57436,8775.14275
"American Avocet","Full",1987,177.426,28.897785,3241.958
"American Avocet","Full",1988,217.9725,32.397495,4008.07700000001
"American Avocet","Full",1989,233.991,36.9754925,4287.69425
"American Avocet","Full",1990,319.282,47.7178875,5749.1905
"American Avocet","Full",1991,495.089,77.1096825,9357.38950000001
"American Avocet","Full",1992,470.555,78.752295,8541.557
"American Avocet","Full",1993,307.523,47.1064425,5631.15600000001
"American Avocet","Full",1994,826.6325,130.6893,16467.6425
"American Avocet","Full",1995,674.557,107.541025,13390.9175
"American Avocet","Full",1996,367.913,55.1182175,6552.01925000001
"American Avocet","Full",1997,315.308,47.4695875,6006.504
"American Avocet","Full",1998,721.163,114.9132,12579.0725
"American Avocet","Full",1999,733.492,125.4165,13699.7175
"American Avocet","Full",2000,658.138,111.3847,11448.7325
"American Avocet","Full",2001,488.8195,76.5242425,9212.47775000002
"American Avocet","Full",2002,320.5905,52.16135,5807.5645
"American Avocet","Full",2003,784.2655,128.970125,14140.71
"American Avocet","Full",2004,290.4205,47.686605,5949.66050000001
"American Avocet","Full",2005,274.3735,44.4251,5366.8485
"American Avocet","Full",2006,443.8695,64.4672975,8197.49475000001
"American Avocet","Full",2007,484.4425,75.1556675000001,8609.57375000001
"American Avocet","Full",2008,280.0235,41.88045,5487.8785
"American Avocet","Full",2009,256.0505,35.7099075,5006.26300000001
"American Avocet","Full",2010,208.233,30.539045,3785.28575
"American Avocet","Full",2011,529.9685,79.6393275,10170.8275
"American Avocet","Full",2012,391.1555,55.20759,7156.90975000002
"American Avocet","Full",2013,262.554,31.10434,4713.958
"American Avocet","Full",2014,408.656,53.8372625,8221.4215
"American Avocet","Full",2015,254.6965,36.219445,4636.263
"American Avocet","Full",2016,293.651,35.951895,5403.21425
"American Avocet","Full",2017,255.797,27.591715,5405.84225
"American Avocet","Full",2018,238.6965,27.574365,5072.028
"American Avocet","Full",2019,533.4735,58.749295,11500.595
"American Avocet","Smooth",1980,630.7015,98.25304,11163.305
"American Avocet","Smooth",1981,618.9095,98.5726350000001,11259.555
"American Avocet","Smooth",1982,611.471,97.7276675,11227.5625
"American Avocet","Smooth",1983,600.302,97.848555,11022.1925
"American Avocet","Smooth",1984,588.7565,98.47103,10706.245
"American Avocet","Smooth",1985,574.8095,97.1699425,10374.595
"American Avocet","Smooth",1986,564.4755,94.91633,10084.27
"American Avocet","Smooth",1987,547.6185,92.500155,9887.75275000003
"American Avocet","Smooth",1988,535.458,91.75687,9612.77925000001
"American Avocet","Smooth",1989,527.865,90.6956725,9356.28000000002
"American Avocet","Smooth",1990,521.9565,90.0539725,9258.11725
"American Avocet","Smooth",1991,516.6915,88.16289,9289.10025
"American Avocet","Smooth",1992,516.9095,88.2101875000001,9376.85825
"American Avocet","Smooth",1993,513.265,87.6303475,9415.10525
"American Avocet","Smooth",1994,513.9415,87.765025,9402.116
"American Avocet","Smooth",1995,512.6975,88.7489425,9370.77575000001
"American Avocet","Smooth",1996,510.5415,88.631365,9331.58600000001
"American Avocet","Smooth",1997,506.9615,88.3466425,9275.95650000002
"American Avocet","Smooth",1998,501.1265,88.340385,9487.58050000001
"American Avocet","Smooth",1999,493.0445,87.07479,9254.04075
"American Avocet","Smooth",2000,485.221,84.9795025,8849.15975000002
"American Avocet","Smooth",2001,476.8315,84.2912,8882.55575000001
"American Avocet","Smooth",2002,467.3525,81.42895,8543.17000000001
"American Avocet","Smooth",2003,459.5965,79.8388,8240.42675000001
"American Avocet","Smooth",2004,448.9455,78.42845,7824.01050000001
"American Avocet","Smooth",2005,437.8365,77.556275,7886.47925000001
"American Avocet","Smooth",2006,427.5715,74.9633925,7775.03275000001
"American Avocet","Smooth",2007,419.5195,72.2157925,7566.80075000001
"American Avocet","Smooth",2008,411.6855,69.4621125,7399.23775
"American Avocet","Smooth",2009,403.749,66.8253675000001,7255.17725000001
"American Avocet","Smooth",2010,397.3005,63.829195,7074.77450000001
"American Avocet","Smooth",2011,391.756,62.9220425,6714.28600000001
"American Avocet","Smooth",2012,385.853,60.9607625,6653.01275000001
"American Avocet","Smooth",2013,382.0245,60.0433,6550.14150000002
"American Avocet","Smooth",2014,380.8075,57.92988,6675.25225
"American Avocet","Smooth",2015,377.273,56.7551675,6751.13075
"American Avocet","Smooth",2016,379.384,56.6016625,6692.15150000001
"American Avocet","Smooth",2017,381.201,56.08003,6855.7115
"American Avocet","Smooth",2018,386.5395,56.052735,6898.62
"American Avocet","Smooth",2019,388.803,55.9349375,6951.488
"Black-bellied Plover","Full",1980,27.9995,19.3862875,43.3871775
"Black-bellied Plover","Full",1981,31.50365,21.610035,49.261705
"Black-bellied Plover","Full",1982,26.2003,18.58862,40.130895
"Black-bellied Plover","Full",1983,42.2806,28.4050225,64.8756
"Black-bellied Plover","Full",1984,59.2761,41.4540375,88.9799325
"Black-bellied Plover","Full",1985,53.3449,38.01057,81.495005
"Black-bellied Plover","Full",1986,24.3957,16.87178,37.209955
"Black-bellied Plover","Full",1987,38.4104,27.124935,57.9548375
"Black-bellied Plover","Full",1988,26.8539,18.5851,40.858735
"Black-bellied Plover","Full",1989,27.8234,20.0138375,41.7809875
"Black-bellied Plover","Full",1990,29.61415,20.94066,45.71401
"Black-bellied Plover","Full",1991,20.84015,14.244995,31.8889075
"Black-bellied Plover","Full",1992,20.7273,14.3920825,30.89079
"Black-bellied Plover","Full",1993,34.3582,24.1622225,52.7976325
"Black-bellied Plover","Full",1994,32.8857,23.671345,50.3124225
"Black-bellied Plover","Full",1995,22.8187,16.0316925,34.7096975
"Black-bellied Plover","Full",1996,19.448,13.47819,30.0296925
"Black-bellied Plover","Full",1997,29.7175,21.08415,45.583645
"Black-bellied Plover","Full",1998,40.8972,29.596575,62.6603375
"Black-bellied Plover","Full",1999,20.6346,14.6991875,31.1627
"Black-bellied Plover","Full",2000,24.3684,17.480685,37.3784375
"Black-bellied Plover","Full",2001,36.00485,25.7295675,54.2084075
"Black-bellied Plover","Full",2002,26.7745,18.9940675,41.4226375
"Black-bellied Plover","Full",2003,25.57795,18.069585,39.5844975
"Black-bellied Plover","Full",2004,21.3916,15.199465,33.413195
"Black-bellied Plover","Full",2005,25.0238,17.75347,38.5465225
"Black-bellied Plover","Full",2006,14.93425,10.482055,23.1678925
"Black-bellied Plover","Full",2007,19.9116,14.1587375,29.834325
"Black-bellied Plover","Full",2008,18.23235,12.7821925,28.700045
"Black-bellied Plover","Full",2009,17.49085,12.1030275,26.9403225
"Black-bellied Plover","Full",2010,22.3063,15.5368775,33.86656
"Black-bellied Plover","Full",2011,23.84195,16.5835875,37.071215
"Black-bellied Plover","Full",2012,18.518,12.6178125,29.428675
"Black-bellied Plover","Full",2013,13.61195,9.3541685,21.4185675
"Black-bellied Plover","Full",2014,12.43575,8.35823625,19.8042875
"Black-bellied Plover","Full",2015,16.91845,11.3994175,26.922485
"Black-bellied Plover","Full",2016,13.0886,8.83064775,21.4689325
"Black-bellied Plover","Full",2017,12.41605,8.27648775,20.353195
"Black-bellied Plover","Full",2018,15.78955,9.99066225,26.4402725
"Black-bellied Plover","Full",2019,13.49,8.4786995,22.350735
"Black-bellied Plover","Smooth",1980,34.22465,22.66527,55.44913
"Black-bellied Plover","Smooth",1981,34.6233,23.345855,55.4359025
"Black-bellied Plover","Smooth",1982,34.90425,23.8406875,55.059245
"Black-bellied Plover","Smooth",1983,35.0752,24.2621725,54.6603125
