"trend","lci","uci","start_year","end_year","trend_type","index_type","retransformation_type","Region"
-5.97963839775971,-13.4807993142733,2.57506093126754,1974,2019,"endpoint","standard","standard",NA
-9.77764744351721,-19.2357004593752,0.179965537468729,2004,2019,"endpoint","standard","standard",NA
-5.41742077175008,-12.8736178781754,2.84030555147449,1974,2019,"slope","standard","standard",NA
-9.17105482918809,-17.8223782651056,0.173523852850991,2004,2019,"slope","standard","standard",NA
-7.83107128685896,-10.1767489847949,-5.27589081017627,1974,2019,"endpoint","standard","standard","Composite"
-4.98423358824351,-7.85661940864575,-2.16339545272404,1974,2019,"endpoint","standard","standard","Atlantic Canada"
0.0434445978325714,-8.3085333995359,8.3481686688741,1974,2019,"endpoint","standard","standard","East Inland"
-12.2216165684027,-28.25491448299,5.19815714813369,1974,2019,"endpoint","standard","standard","Midcontinental"
-10.1209806110219,-12.2373662720062,-8.05667808141553,1974,2019,"endpoint","standard","standard","Northeast US Coastal"
-10.1892583458846,-19.2171252322911,-0.626615078187056,1974,2019,"endpoint","standard","standard","Ontario"
-6.84406474764823,-8.04875643731202,-5.53760013062464,1974,2019,"slope","standard","standard","Composite"
-3.53029343633131,-4.35162763865002,-2.73808246223594,1974,2019,"slope","standard","standard","Atlantic Canada"
0.848411033661285,-3.73234346633771,5.31187725521719,1974,2019,"slope","standard","standard","East Inland"
-12.3681806226007,-26.2367649779176,-1.00021772444934,1974,2019,"slope","standard","standard","Midcontinental"
-9.18268907750337,-10.3534230100478,-8.10839412742442,1974,2019,"slope","standard","standard","Northeast US Coastal"
-8.06429866726472,-11.8819319400694,-4.42379900951784,1974,2019,"slope","standard","standard","Ontario"
-7.90733880231431,-10.2330912577048,-5.39366349305929,1974,2019,"endpoint","standard","lognormal_only","Composite"
-4.98423358824351,-7.85661940864575,-2.16339545272404,1974,2019,"endpoint","standard","lognormal_only","Atlantic Canada"
0.0434445978325715,-8.3085333995359,8.3481686688741,1974,2019,"endpoint","standard","lognormal_only","East Inland"
-12.2216165684027,-28.25491448299,5.19815714813369,1974,2019,"endpoint","standard","lognormal_only","Midcontinental"
-10.1209806110219,-12.2373662720062,-8.05667808141553,1974,2019,"endpoint","standard","lognormal_only","Northeast US Coastal"
-10.1892583458846,-19.2171252322911,-0.626615078187056,1974,2019,"endpoint","standard","lognormal_only","Ontario"
-7.99121382993392,-10.2263658643559,-5.66626561729756,1974,2019,"endpoint","standard","none","Composite"
-4.98423358824351,-7.85661940864575,-2.16339545272404,1974,2019,"endpoint","standard","none","Atlantic Canada"
0.0434445978325715,-8.3085333995359,8.3481686688741,1974,2019,"endpoint","standard","none","East Inland"
-12.2216165684027,-28.25491448299,5.19815714813369,1974,2019,"endpoint","standard","none","Midcontinental"
-10.1209806110219,-12.2373662720062,-8.05667808141553,1974,2019,"endpoint","standard","none","Northeast US Coastal"
-10.1892583458846,-19.2171252322911,-0.626615078187056,1974,2019,"endpoint","standard","none","Ontario"
-12.3365139371235,-17.9937509585822,-5.89532780348488,2004,2019,"endpoint","standard","standard","Composite"
-6.73768382123144,-14.4816149339954,1.05621182824372,2004,2019,"endpoint","standard","standard","Atlantic Canada"
-7.35892750733083,-24.4610344026113,10.082723607302,2004,2019,"endpoint","standard","standard","East Inland"
-12.8463139270652,-41.7741001384754,27.026845460605,2004,2019,"endpoint","standard","standard","Midcontinental"
-18.1201642496352,-23.4722938032717,-12.9420880643639,2004,2019,"endpoint","standard","standard","Northeast US Coastal"
-20.8248122722855,-36.7872271321357,-4.07127908120955,2004,2019,"endpoint","standard","standard","Ontario"
-11.7872615350868,-15.7870030140203,-7.00370030879058,2004,2019,"slope","standard","standard","Composite"
-9.19535523999397,-12.7167621594027,-5.88191841361824,2004,2019,"slope","standard","standard","Atlantic Canada"
-3.07257902505542,-15.8071739091714,9.65500164348435,2004,2019,"slope","standard","standard","East Inland"
-13.7714459773795,-34.556859881726,12.5092980164986,2004,2019,"slope","standard","standard","Midcontinental"
-16.9529741736672,-21.4429300718147,-12.9628464891639,2004,2019,"slope","standard","standard","Northeast US Coastal"
-13.9911269774457,-25.270302418294,-3.64163680139391,2004,2019,"slope","standard","standard","Ontario"
