"trend","lci","uci","start_year","end_year","trend_type","index_type","retransformation_type","Region"
-6.13718487478639,-10.4228160938585,-0.983482470958675,1974,2019,"endpoint","standard","standard",NA
-7.66954274780473,-13.1105063024945,-1.86030008977743,2004,2019,"endpoint","standard","standard",NA
-5.94550289509792,-10.0543913249748,-0.750900904885613,1974,2019,"slope","standard","standard",NA
-6.2377281648093,-10.7467131260944,-0.897417177059793,2004,2019,"slope","standard","standard",NA
-4.95081085491264,-8.70104917455978,-1.1429419172492,1974,2019,"endpoint","standard","standard","Composite"
-5.17299197384729,-7.5862769135344,-2.71357316668864,1974,2019,"endpoint","standard","standard","Atlantic Canada"
-1.57587584785661,-6.54967818512172,3.71116558866918,1974,2019,"endpoint","standard","standard","East Inland"
-9.69971608376851,-18.5051506856773,-1.06822686342604,1974,2019,"endpoint","standard","standard","Midcontinental"
-7.65039435830075,-9.17657594019266,-6.02790881601688,1974,2019,"endpoint","standard","standard","Northeast US Coastal"
-9.95755857379742,-16.0308791759002,-4.35528336721192,1974,2019,"endpoint","standard","standard","Ontario"
-4.37687399253045,-9.09529097345105,0.430338624296395,1974,2019,"endpoint","standard","standard","Southeast Coastal"
-1.93999081396273,-17.0584872555242,16.4529638859517,1974,2019,"endpoint","standard","standard","Texas Coastal"
-6.97423620111859,-9.05245333575868,-4.64598135045431,1974,2019,"slope","standard","standard","Composite"
-6.97108353225033,-7.73513564180643,-6.23151426442932,1974,2019,"slope","standard","standard","Atlantic Canada"
-1.4223643698907,-4.21563308928933,1.27256476829355,1974,2019,"slope","standard","standard","East Inland"
-11.2384663908259,-17.0053698906698,-6.36241963802613,1974,2019,"slope","standard","standard","Midcontinental"
-6.57758280272391,-7.45945809599721,-5.70604453133182,1974,2019,"slope","standard","standard","Northeast US Coastal"
-8.1467013406019,-10.3979616695613,-6.12756481387974,1974,2019,"slope","standard","standard","Ontario"
-7.17067939584596,-9.7857885709718,-4.30272774776125,1974,2019,"slope","standard","standard","Southeast Coastal"
-1.35863648444443,-10.8578614559915,12.6550654211125,1974,2019,"slope","standard","standard","Texas Coastal"
-5.03146001535329,-8.6380800557268,-1.28184715071281,1974,2019,"endpoint","standard","lognormal_only","Composite"
-5.17299197384729,-7.5862769135344,-2.71357316668864,1974,2019,"endpoint","standard","lognormal_only","Atlantic Canada"
-1.57587584785661,-6.54967818512172,3.71116558866918,1974,2019,"endpoint","standard","lognormal_only","East Inland"
-9.69971608376851,-18.5051506856773,-1.06822686342605,1974,2019,"endpoint","standard","lognormal_only","Midcontinental"
-7.65039435830075,-9.17657594019265,-6.02790881601688,1974,2019,"endpoint","standard","lognormal_only","Northeast US Coastal"
-9.95755857379742,-16.0308791759002,-4.35528336721192,1974,2019,"endpoint","standard","lognormal_only","Ontario"
-4.37687399253045,-9.09529097345105,0.430338624296395,1974,2019,"endpoint","standard","lognormal_only","Southeast Coastal"
-1.93999081396273,-17.0584872555242,16.4529638859517,1974,2019,"endpoint","standard","lognormal_only","Texas Coastal"
-5.58619637623501,-8.26412930811119,-2.24960283965407,1974,2019,"endpoint","standard","none","Composite"
-5.17299197384729,-7.5862769135344,-2.71357316668863,1974,2019,"endpoint","standard","none","Atlantic Canada"
-1.57587584785661,-6.54967818512172,3.71116558866918,1974,2019,"endpoint","standard","none","East Inland"
-9.69971608376851,-18.5051506856773,-1.06822686342605,1974,2019,"endpoint","standard","none","Midcontinental"
-7.65039435830075,-9.17657594019266,-6.02790881601688,1974,2019,"endpoint","standard","none","Northeast US Coastal"
-9.95755857379742,-16.0308791759002,-4.35528336721192,1974,2019,"endpoint","standard","none","Ontario"
-4.37687399253045,-9.09529097345105,0.430338624296395,1974,2019,"endpoint","standard","none","Southeast Coastal"
-1.93999081396273,-17.0584872555242,16.4529638859517,1974,2019,"endpoint","standard","none","Texas Coastal"
-6.00561377242379,-15.91902032072,5.3427828440674,2004,2019,"endpoint","standard","standard","Composite"
-6.95958895847768,-12.9464043651343,-0.696943119242917,2004,2019,"endpoint","standard","standard","Atlantic Canada"
-9.40697875806331,-19.8177938924208,0.726623699349123,2004,2019,"endpoint","standard","standard","East Inland"
-6.48089486703784,-26.0973653884982,18.9127873127664,2004,2019,"endpoint","standard","standard","Midcontinental"
-11.0210474179393,-15.1487452985342,-6.61646518922381,2004,2019,"endpoint","standard","standard","Northeast US Coastal"
-11.3082336932105,-23.2121260816964,0.509686673302146,2004,2019,"endpoint","standard","standard","Ontario"
-5.53796627473615,-17.3219113264817,7.14888976794062,2004,2019,"endpoint","standard","standard","Southeast Coastal"
-2.46402242911814,-35.0788564312228,39.6014940756994,2004,2019,"endpoint","standard","standard","Texas Coastal"
-0.0280450909480812,-7.32343832280542,8.79231786158744,2004,2019,"slope","standard","standard","Composite"
-7.05450064673063,-9.82391290643507,-4.00206188757588,2004,2019,"slope","standard","standard","Atlantic Canada"
-1.87674534218026,-8.65975467069575,5.10485215573186,2004,2019,"slope","standard","standard","East Inland"
-9.33987491878405,-22.6054687299513,5.91694866941777,2004,2019,"slope","standard","standard","Midcontinental"
-8.4789999364522,-11.6329666787346,-5.43459519762245,2004,2019,"slope","standard","standard","Northeast US Coastal"
-5.87571356746011,-13.1785222519847,1.88248597816177,2004,2019,"slope","standard","standard","Ontario"
3.74184637615693,-5.5425872652746,14.4710162523546,2004,2019,"slope","standard","standard","Southeast Coastal"
-1.10036272662397,-21.6046569287725,22.859957604361,2004,2019,"slope","standard","standard","Texas Coastal"
