"","YearCollected","SurveyAreaIdentifier","sum_all_sp","n_visits"
"1",1974,"L109216",4092,3
"2",1974,"L109233",1050,2
"3",1974,"L126638",2352,2
"4",1974,"L132063",56,1
"5",1974,"L132064",95,2
"6",1974,"L159416",5708,6
"7",1974,"L207383",257,2
"8",1974,"L219714",184,3
"9",1974,"L2481466",242,1
"10",1974,"L269484",10308,2
"11",1974,"L269491",67872,39
"12",1974,"L269708",14133,7
"13",1974,"L279820",1155,16
"14",1974,"L298379",705,5
"15",1974,"L302411",3428,14
"16",1974,"L340510",233,5
"17",1974,"L386755",438,15
"18",1974,"L444898",4,1
"19",1974,"L464527",27,1
"20",1974,"L465571",354,10
"21",1974,"L466299",2209,12
"22",1974,"L470575",7760,11
"23",1974,"L470641",1112,11
"24",1974,"L475094",13586,6
"25",1974,"L480827",3221,17
"26",1974,"L481665",1249,3
"27",1974,"L483031",1262,1
"28",1974,"L487717",11547,7
"29",1974,"L504403",75,1
"30",1974,"L522128",14247,9
"31",1974,"L593571",30,1
"32",1974,"L612924",96,2
"33",1974,"L616656",60,9
"34",1974,"L617208",2,1
"35",1974,"L659986",34,1
"36",1974,"L660013",3,1
"37",1974,"L663244",5,2
"38",1974,"L663247",19,1
"39",1974,"L674708",0,1
"40",1974,"L718378",59946,10
"41",1974,"L721519",94,2
"42",1974,"L815117",213,30
"43",1974,"L92448",30712,24
"44",1974,"L928645",372,2
"45",1975,"L109121",4314,15
"46",1975,"L109289",4165,15
"47",1975,"L1095884",52,4
"48",1975,"L11349197",1934,12
"49",1975,"L124353",1623,14
"50",1975,"L1259115",1775,10
"51",1975,"L126627",2822,20
"52",1975,"L1269203",21,10
"53",1975,"L1270578",809,3
"54",1975,"L127308",210,4
"55",1975,"L127332",558,5
"56",1975,"L127445",414,6
"57",1975,"L129037",52500,10
"58",1975,"L129046",2243,2
"59",1975,"L129047",7749,9
"60",1975,"L129761",169,8
"61",1975,"L132076",302,9
"62",1975,"L140467",1,1
"63",1975,"L166462",564,11
"64",1975,"L166463",183,7
"65",1975,"L1842538",774,23
"66",1975,"L190061",760,6
"67",1975,"L207348",290,4
"68",1975,"L215343",703,9
"69",1975,"L219714",862,11
"70",1975,"L228875",88,5
"71",1975,"L251651",4815,17
"72",1975,"L269484",483,1
"73",1975,"L269491",126245,46
"74",1975,"L279820",2073,22
"75",1975,"L281327",542,4
"76",1975,"L295119",628,16
"77",1975,"L343754",5997,3
"78",1975,"L376633",36,6
"79",1975,"L386755",555,16
"80",1975,"L452480",1251,10
"81",1975,"L453702",3620,5
"82",1975,"L458655",89,9
"83",1975,"L465571",1313,14
"84",1975,"L466299",2474,10
"85",1975,"L470575",13619,17
"86",1975,"L471800",10743,9
"87",1975,"L475094",14508,16
"88",1975,"L479571",2086,6
"89",1975,"L480827",4626,18
"90",1975,"L480868",573,14
"91",1975,"L481080",1631,8
"92",1975,"L483031",18695,15
"93",1975,"L484987",312,3
"94",1975,"L487717",11368,6
"95",1975,"L507411",880,7
"96",1975,"L512553",608,23
"97",1975,"L512561",124,6
"98",1975,"L514035",44,1
"99",1975,"L517070",777,5
"100",1975,"L524011",2919,33
"101",1975,"L552725",431,3
"102",1975,"L593571",349,4
"103",1975,"L612916",325,4
"104",1975,"L616675",13,1
"105",1975,"L619761",34,2
"106",1975,"L619795",1933,6
"107",1975,"L621630",135,5
"108",1975,"L634209",587,5
"109",1975,"L636666",1340,1
"110",1975,"L646019",488,5
"111",1975,"L659986",229,1
"112",1975,"L674614",334,1
"113",1975,"L674659",180,1
"114",1975,"L693440",235,3
"115",1975,"L713652",550,2
"116",1975,"L718378",20807,6
"117",1975,"L815117",1668,29
"118",1975,"L92448",39736,18
"119",1975,"L936733",7136,12
"120",1976,"L109121",506,10
"121",1976,"L109233",11485,38
"122",1976,"L109289",2806,15
"123",1976,"L1095884",993,15
"124",1976,"L124353",2534,12
"125",1976,"L125099",198975,14
"126",1976,"L126627",1031,20
"127",1976,"L127263",181,6
"128",1976,"L127294",558,4
"129",1976,"L127308",150,4
"130",1976,"L127332",749,6
"131",1976,"L127370",163,5
"132",1976,"L127445",760,10
"133",1976,"L129037",10340,2
"134",1976,"L129756",3149,108
"135",1976,"L129761",127,8
"136",1976,"L132076",642,14
"137",1976,"L132813",186,6
"138",1976,"L140043",545,8
"139",1976,"L140462",2,1
"140",1976,"L159619",15869,20
"141",1976,"L166161",42,4
"142",1976,"L166462",1745,24
"143",1976,"L190286",14263,7
"144",1976,"L197353",3975,9
"145",1976,"L207348",8,1
"146",1976,"L207381",212,13
"147",1976,"L215343",476,11
"148",1976,"L219714",479,11
"149",1976,"L248058",2494,18
"150",1976,"L251651",10455,19
"151",1976,"L267398",766,4
"152",1976,"L269484",39686,16
"153",1976,"L269491",91091,47
"154",1976,"L269708",26715,12
"155",1976,"L279820",2406,22
